team_id;fifa_version;team_name;league_name;league_level;nationality_id;nationality_name;coach_id;home_stadium;international_prestige
112671;23;Nacional Asunción;Primera División;1;58;Paraguay;9605704;Arena del Centenario (Estadio del Pueblo);4
112689;23;Platense;Liga Profesional;1;52;Argentina;467951;Crown Lane;1
112695;23;RFC Seraing;Jupiler Pro League;1;7;Belgium;34874032;Town Park;1
112713;23;Sarmiento;Liga Profesional;1;52;Argentina;107256;Arena d'Oro;1
112716;23;Cerro Porteño;Primera División;1;58;Paraguay;474745;Estadio Nacional (El Medio);6
112791;23;SPAL;Serie B;2;27;Italy;466678;Court Lane;1
112809;23;Famalicão;Liga Portugal;1;38;Portugal;37257773;Aloha Park (Generic Oceania 2);1
112828;23;New York City;Major League Soccer;1;95;United States;32431130;Stadion Europa (Generic Europe 2);5
112853;23;Deportivo La Guaira;Primera Division;1;61;Venezuela;460239;El Monumento (Estadio Latino);1
112883;23;Al Khaleej;Pro League;1;183;Saudi Arabia;1533122;Stade Kokoto (Generic Africa 2);2
112885;23;Atlanta United;Major League Soccer;1;95;United States;252596;Mercedes-Benz Stadium;5
112893;23;Inter Miami;Major League Soccer;1;95;United States;305;Crown Lane;3
112908;23;Independiente del Valle;Liga Pro;1;57;Ecuador;37614914;Stade Municipal;5
112914;23;Metropolitanos;Primera Division;1;61;Venezuela;282308;Aloha Park (Generic Oceania 2);1
